Date,Description,Credit,Debit,Balance,Amount
18/04/2021,MCDONALDS NORTH LAKES - Visa Purchase - Receipt 160553In NORTH LAKES Date 15 Apr 2021 Card 462263xxxxxx7746,,-28.25,3514.4,28.25
18/04/2021,Microsoft*Microsoft 365 P - Visa Purchase - Receipt 160552In msbill.info Date 16 Apr 2021 Card 462263xxxxxx7746,,-10,3542.65,10
18/04/2021,SQ *BLK BOX CO.        Gr iffin - EFTPOS Purchase - Receipt 291140Date 18 Apr 2021 Time 8:28AM Card 462263xxxxxx7746,,-12,3552.65,12
17/04/2021,BRIGHT SHADOW TRADIN   GR IFFIN      Q - EFTPOS Purchase - Receipt 71133Date 17 Apr 2021 Time 3:01PM Card 462263xxxxxx7746,,-1,3564.65,1
17/04/2021,PAYPAL *WENCHEN EBAY W - Visa Purchase - Receipt 121205In 4029357733 Date 15 Apr 2021 Card 462263xxxxxx7746,,-60.02,3565.65,60.02
17/04/2021,PAYPAL *LFKINDY - Visa Purchase - Receipt 121204In 4029357733 Date 15 Apr 2021 Card 462263xxxxxx7746,,-72.41,3625.67,72.41
17/04/2021,AGL SALES PTY LTD - Visa Purchase - Receipt 121203In SYDNEY Date 14 Apr 2021 Card 462263xxxxxx7746,,-127.97,3698.08,127.97
17/04/2021,MCDONALDS NORTH LAKES - Visa Purchase - Receipt 121202In NORTH LAKES Date 14 Apr 2021 Card 462263xxxxxx7746,,-2,3826.05,2
17/04/2021,COSTCO FUEL NORTH LAKE - Visa Purchase - Receipt 121201In NORTH LAKES Date 15 Apr 2021 Card 462263xxxxxx7746,,-76.75,3828.05,76.75
17/04/2021,WOOLWORTHS ONLINE 8843 - Visa Purchase - Receipt 121200In BELLA VISTA Date 15 Apr 2021 Card 462263xxxxxx7746,,-61.52,3904.8,61.52
17/04/2021,All Direct debits - Transfer to Kiran Joy - Receipt 143108 To 032885 5310008,,-3100,3966.32,3100
16/04/2021,Internal Transfer - Internal Transfer - Receipt 857522 Orange Everyday 0065083812,,-345,7066.32,345
16/04/2021,Internal Transfer - Internal Transfer - Receipt 777638 Savings Maximiser 0046211237,,-690,7411.32,690
16/04/2021,Internal Transfer - Internal Transfer - Receipt 777296 Savings Maximiser 0046211453,,-1180,8101.32,1180
16/04/2021,SP * LITTLEBABYPAWS - Visa Purchase - Receipt 157589In MELBOURNE Date 15 Apr 2021 Card 462263xxxxxx7495,,-34.41,9281.32,34.41
16/04/2021,TRANSLINK - Visa Purchase - Receipt 157588In BRISBANE Date 14 Apr 2021 Card 462263xxxxxx7746,,-20,9315.73,20
15/04/2021,Internal Transfer - Internal Transfer - Receipt 625507  0806227416,,-100,9335.73,100
15/04/2021,DISNEY PLUS - Visa Purchase - Receipt 175148In RICHMOND Date 13 Apr 2021 Card 462263xxxxxx7746,,-8.99,9435.73,8.99
14/04/2021,NORTH PINE SOCCER CL - Visa Purchase - Receipt 144455In DAKABIN Date 09 Apr 2021 Card 462263xxxxxx7746,,-4,324.05,4
14/04/2021,OXFAM AUSTRALIA Q - Visa Purchase - Receipt 144454In CARLTON Date 12 Apr 2021 Card 462263xxxxxx7746,,-55,328.05,55
14/04/2021,MCDONALDS KALLANGUR - Visa Purchase - Receipt 144453In KALLANGUR Date 09 Apr 2021 Card 462263xxxxxx7746,,-8.95,383.05,8.95
14/04/2021,TRANSPORTMAINRDS - Visa Purchase - Receipt 144452In BRISBANE Date 12 Apr 2021 Card 462263xxxxxx7746,,-378.96,392,378.96
13/04/2021,SHAPLAND SWIM KALLAN - Visa Purchase - Receipt 171702In KALLANGUR Date 12 Apr 2021 Card 462263xxxxxx7746,,-61.5,770.96,61.5
11/04/2021,Kogan MoneyBlackCard          4813635950084279 - BPAY Bill Payment - Receipt 458352 To Kogan MoneyBlackCard 4813635950084279,,-220,404.66,220
11/04/2021,Lawnton CM Bakery - Visa Purchase - Receipt 195970In Lawnton Date 10 Apr 2021 Card 462263xxxxxx7746,,-3.93,224.66,3.93
11/04/2021,ALDI STORES - KALLANGU - Visa Purchase - Receipt 195969In KALLANGUR Date 08 Apr 2021 Card 462263xxxxxx7746,,-39.71,228.59,39.71
10/04/2021,Telstra Direct Debit - Visa Purchase - Receipt 178470In AUSTRALIA Date 08 Apr 2021 Card 462263xxxxxx7746,,-111.62,268.3,111.62
9/04/2021,Raiz Investment - Direct Debit - Receipt 151614 88d50d597b42650290,,-22.34,379.92,22.34
9/04/2021,PLINE PH WESTFIELD NL  NO RTH LAKES  Q - EFTPOS Purchase - Receipt 24688Date 09 Apr 2021 Time 3:30PM Card 462263xxxxxx7746,,-27.67,402.26,27.67
9/04/2021,BeachHouse NorthLakes - Visa Purchase - Receipt 174129In Mango Hill Date 08 Apr 2021 Card 462263xxxxxx7746,,-49.43,429.93,49.43
9/04/2021,BeachHouse NorthLakes - Visa Purchase - Receipt 174128In Mango Hill Date 08 Apr 2021 Card 462263xxxxxx7746,,-16.21,479.36,16.21
8/04/2021,Goodstart Murrum - Direct Debit - Receipt 155764 A006N61R13FA,,-300,495.57,300
8/04/2021,Transfer to Kiran Joy - Receipt 881287 To 032885 5310008 - Transfer to Kiran Joy - Receipt 881287 To 032885 5310008,,-4000,795.57,4000
8/04/2021,PAYPAL *COLESSUPERM EB - Visa Purchase - Receipt 112334In 4029357733 Date 06 Apr 2021 Card 462263xxxxxx7746,,-56.6,295.57,56.6
8/04/2021,JAY MEDICALS PTY LTD - Visa Purchase - Receipt 112333In GRIFFIN Date 06 Apr 2021 Card 462263xxxxxx7495,,-110,352.17,110
7/04/2021,International Transaction Fee - Receipt 123907,,-0.93,461.24,0.93
7/04/2021,Banggood.com - Visa Purchase - Receipt 123907Foreign Currency Amount:  0In HongKong Date 06 Apr 2021 Card 462263xxxxxx7746,,-37.35,462.17,37.35
6/04/2021,Raiz Maint Fee - Direct Debit - Receipt 149917 c1b1a28ae5320fa494,,-3.5,412.07,3.5
6/04/2021,WOOLWORTHS 2752 - Visa Purchase - Receipt 112434In KALLANGUR Date 04 Apr 2021 Card 462263xxxxxx7746,,-10.5,415.57,10.5
6/04/2021,WOOLWORTHS 2508 - Visa Purchase - Receipt 112433In MANGO HILL Date 04 Apr 2021 Card 462263xxxxxx7746,,-43.7,426.07,43.7
5/04/2021,International Transaction Fee - Receipt 159545,,-0.36,469.41,0.36
5/04/2021,ADOBE PHOTOGPHY PLAN - Visa Purchase - Receipt 159545Foreign Currency Amount:  0In ADOBE.LY/ENA Date 03 Apr 2021 Card 462263xxxxxx7746,,-14.29,469.77,14.29
5/04/2021,WOOLWORTHS 2752 - Visa Purchase - Receipt 159544In KALLANGUR Date 03 Apr 2021 Card 462263xxxxxx7746,,-55,484.06,55
3/04/2021,BIG W ONLINE 0800 - Visa Purchase - Receipt 168432In BELLA VISTA Date 01 Apr 2021 Card 462263xxxxxx7495,,-73,539.06,73
3/04/2021,WOOLWORTHS ONLINE 8843 - Visa Purchase - Receipt 168431In BELLA VISTA Date 01 Apr 2021 Card 462263xxxxxx7746,,-50.2,612.06,50.2
3/04/2021,WOOLWORTHS 2752 - Visa Purchase - Receipt 168430In KALLANGUR Date 01 Apr 2021 Card 462263xxxxxx7746,,-14.74,662.26,14.74
2/04/2021,Dominos Estore Murrumba D - Visa Purchase - Receipt 142911In dominos.com. Date 31 Mar 2021 Card 462263xxxxxx7495,,-23,677,23
31/03/2021,TRANSLINK - Visa Purchase - Receipt 140415In BRISBANE Date 29 Mar 2021 Card 462263xxxxxx7746,,-20,656,20
29/03/2021,Raiz Investment - Direct Debit - Receipt 135591 b47c1c22ac59ddd29f,,-20.28,676,20.28
29/03/2021,AMZNPRIMEAU MEMBERSHIP - Visa Purchase - Receipt 193699In SYDNEY SOUTH Date 28 Mar 2021 Card 462263xxxxxx7746,,-6.99,696.28,6.99
28/03/2021,BIG W/1 NORTHLAKES DR - Visa Purchase - Receipt 122454In NORTHLAKES Date 27 Mar 2021 Card 462263xxxxxx7746,,-30.99,703.27,30.99
28/03/2021,MCDONALDS MURRUMBA DO - Visa Purchase - Receipt 122453In MURRUMBA DOW Date 25 Mar 2021 Card 462263xxxxxx7495,,-22.9,734.26,22.9
26/03/2021,COLES 4545 NORTH LAKE - EFTPOS Purchase - Receipt 330404Date 26 Mar 2021 Time 5:46PM Card 462263xxxxxx7746,,-0.72,757.16,0.72
26/03/2021,SQ *BROW N LASH EXPRES Mu rrumba Down - EFTPOS Purchase - Receipt 436257Date 26 Mar 2021 Time 5:12PM Card 462263xxxxxx7495,,-15.3,757.88,15.3
26/03/2021,Microsoft*EA Play 1 Month - Visa Purchase - Receipt 189448In msbill.info Date 24 Mar 2021 Card 462263xxxxxx7746,,-6.99,773.18,6.99
25/03/2021,WOOLWORTHS      2752   KA LLANGUR QLD - EFTPOS Purchase - Receipt 340180Date 25 Mar 2021 Time 6:36PM Card 462263xxxxxx7746,,-23.8,780.17,23.8
25/03/2021,SQ *TANZ GARAGE HAIR S Gr iffin - EFTPOS Purchase - Receipt 888569Date 25 Mar 2021 Time 3:22PM Card 462263xxxxxx7495,,-52,803.97,52
24/03/2021,Audible Australia - Visa Purchase - Receipt 102870In MELBOURNE Date 22 Mar 2021 Card 462263xxxxxx7746,,-16.45,855.97,16.45
23/03/2021,David Ree Shanoo gift from Kiran - Osko Payment to 084069 171478957 - Receipt 473314 ,,-30,872.42,30
21/03/2021,WOOLWORTHS 2752 - Visa Purchase - Receipt 115013In KALLANGUR Date 19 Mar 2021 Card 462263xxxxxx7746,,-33,902.42,33
21/03/2021,MSFT *<E0400DR8W4> - Visa Purchase - Receipt 115012In MSFT AZURE Date 19 Mar 2021 Card 462263xxxxxx7746,,-6.03,935.42,6.03
21/03/2021,NETFLIX COM - Visa Purchase - Receipt 115011In MELBOURNE Date 19 Mar 2021 Card 462263xxxxxx7746,,-15.99,941.45,15.99
19/03/2021,WOOLWORTHS 2752 - Visa Purchase - Receipt 170654In KALLANGUR Date 14 Mar 2021 Card 462263xxxxxx7746,,-18.65,892.44,18.65
18/03/2021,Raiz Investment - Direct Debit - Receipt 169598 63a1e5399a76c73eb2,,-22.53,911.09,22.53
18/03/2021,MICROSOFT*MICROSOFT 365 P - Visa Purchase - Receipt 149152In MSBILL.INFO Date 16 Mar 2021 Card 462263xxxxxx7746,,-10,933.62,10
17/03/2021,LEASE PAY - Direct Debit - Receipt 118010 001-1347737-001,,-761,943.62,761
17/03/2021,All Direct debits - Transfer to Kiran Joy - Receipt 509321 To 032885 5310008,,-3100,1704.62,3100
17/03/2021,7-ELEVEN 4062 - Visa Purchase - Receipt 137792In BRISBANE Date 15 Mar 2021 Card 462263xxxxxx7746,,-7,4804.62,7
17/03/2021,7 ELEVEN 4228 - Visa Purchase - Receipt 137791In KALLANGUR Date 14 Mar 2021 Card 462263xxxxxx7746,,-20.55,4811.62,20.55
17/03/2021,ALDI STORES - KALLANGU - Visa Purchase - Receipt 137790In KALLANGUR Date 14 Mar 2021 Card 462263xxxxxx7746,,-108.39,4832.17,108.39
17/03/2021,TRANSLINK - Visa Purchase - Receipt 137789In BRISBANE Date 15 Mar 2021 Card 462263xxxxxx7746,,-20,4940.56,20
17/03/2021,SPENDLESS SHOES - Visa Purchase - Receipt 137788In MANGO HILL Date 14 Mar 2021 Card 462263xxxxxx7746,,-54.98,4960.56,54.98
16/03/2021,Internal Transfer - Internal Transfer - Receipt 359488 Orange Everyday 0065083812,,-345,5015.54,345
16/03/2021,Internal Transfer - Internal Transfer - Receipt 216296 Savings Maximiser 0046211453,,-1180,5360.54,1180
16/03/2021,Internal Transfer - Internal Transfer - Receipt 216127 Savings Maximiser 0046211237,,-690,6540.54,690
15/03/2021,BWS 2482 - Visa Purchase - Receipt 103649In GRIFFIN Date 13 Mar 2021 Card 462263xxxxxx7746,,-39,7230.54,39
15/03/2021,WOOLWORTHS ONLINE 8843 - Visa Purchase - Receipt 103648In BELLA VISTA Date 13 Mar 2021 Card 462263xxxxxx7746,,-39.53,7269.54,39.53
15/03/2021,DISNEY PLUS - Visa Purchase - Receipt 103647In RICHMOND Date 13 Mar 2021 Card 462263xxxxxx7746,,-8.99,7309.07,8.99
15/03/2021,AUSSIE SEAFOOD HOUSE - Visa Purchase - Receipt 103646In LAWNTON Date 13 Mar 2021 Card 462263xxxxxx7746,,-13.37,7318.06,13.37
14/03/2021,MITHUN MOHAN Airbnb kiran - Osko Payment to +61-403642318 - Receipt 468281 ,,-392.8,7331.43,392.8
14/03/2021,Hungry Jacks Kallangur - EFTPOS Purchase - Receipt 364288Date 14 Mar 2021 Time 12:44PM Card 462263xxxxxx7746,,-30.95,7724.23,30.95
14/03/2021,SURPRISEBRO  PTY LTD - Visa Purchase - Receipt 103207In NORTH LAKES Date 11 Mar 2021 Card 462263xxxxxx7746,,-12.9,7755.18,12.9
14/03/2021,BRIGHT SHADOW TRADIN - Visa Purchase - Receipt 103206In GRIFFIN Date 12 Mar 2021 Card 462263xxxxxx7495,,-5,7768.08,5
14/03/2021,Lawnton CM Bakery - Visa Purchase - Receipt 103205In Lawnton Date 13 Mar 2021 Card 462263xxxxxx7746,,-3.53,7773.08,3.53
14/03/2021,Warburton Butcher LT - Visa Purchase - Receipt 103204In Lawnton Date 13 Mar 2021 Card 462263xxxxxx7746,,-32.46,7776.61,32.46
14/03/2021,Lawnton Country Marke - Visa Purchase - Receipt 103203In Lawnton Date 13 Mar 2021 Card 462263xxxxxx7746,,-40.21,7809.07,40.21
13/03/2021,Internal Transfer - Internal Transfer - Receipt 61936  0806227416,,-100,7849.28,100
13/03/2021,AMAZON MKTPLC AU - Visa Purchase - Receipt 141380In SYDNEY SOUTH Date 11 Mar 2021 Card 462263xxxxxx7746,,-7.99,7940.78,7.99
13/03/2021,CHEMIST WAREHOUSE - Visa Purchase - Receipt 141379In NORTH LAKES Date 11 Mar 2021 Card 462263xxxxxx7746,,-29.97,7948.77,29.97
13/03/2021,SHAPLAND SWIM KALLAN - Visa Purchase - Receipt 141378In KALLANGUR Date 11 Mar 2021 Card 462263xxxxxx7746,,-82,7978.74,82
13/03/2021,SURPRISEBRO PTY. LTD - Visa Purchase - Receipt 141377In NORTH LAKES Date 11 Mar 2021 Card 462263xxxxxx7746,,-0.2,8060.74,0.2
13/03/2021,BEST AND LESS - Visa Purchase - Receipt 141376In MANGO HILL Date 11 Mar 2021 Card 462263xxxxxx7746,,-58,8060.94,58
13/03/2021,QATT DEVELOPMENT PTY L - Visa Purchase - Receipt 141375In NORTH LAKES Date 11 Mar 2021 Card 462263xxxxxx7746,,-9.5,8118.94,9.5
13/03/2021,REBEL BRISBANE - Visa Purchase - Receipt 141374In BRISBANE Date 10 Mar 2021 Card 462263xxxxxx7746,,-49.99,8128.44,49.99
12/03/2021,OXFAM AUSTRALIA Q - Visa Purchase - Receipt 178084In CARLTON Date 10 Mar 2021 Card 462263xxxxxx7746,,-55,277.76,55
12/03/2021,TARGET 5167 - Visa Purchase - Receipt 178083In NORTH LAKES Date 11 Mar 2021 Card 462263xxxxxx7746,,-61,332.76,61
11/03/2021,International Transaction Fee - Receipt 153529,,-1.94,276.82,1.94
11/03/2021,SP * GIFTBOX BOUTIQUE - Visa Purchase - Receipt 153529Foreign Currency Amount: NZD 82.99In WHANGAREI Date 09 Mar 2021 Card 462263xxxxxx7495,,-77.4,278.76,77.4
11/03/2021,AMAZON AU - Visa Purchase - Receipt 153528In SYDNEY SOUTH Date 08 Mar 2021 Card 462263xxxxxx7746,,-11.99,356.16,11.99
10/03/2021,Raiz Investment - Direct Debit - Receipt 109758 e6f1b761b425714045,,-22.69,368.15,22.69
10/03/2021,SP * TOY UNIVERSE - Visa Purchase - Receipt 135345In FREMANTLE Date 08 Mar 2021 Card 462263xxxxxx7495,,-34.65,390.84,34.65
10/03/2021,IKEA NORTHLAKES - Visa Purchase - Receipt 135344In NORTH LAKES Date 08 Mar 2021 Card 462263xxxxxx7746,,-65.48,425.49,65.48
10/03/2021,WOOLWORTHS ONLINE 8843 - Visa Purchase - Receipt 135343In BELLA VISTA Date 08 Mar 2021 Card 462263xxxxxx7746,,-33.97,490.97,33.97
10/03/2021,Telstra Direct Debit - Visa Purchase - Receipt 135342In AUSTRALIA Date 08 Mar 2021 Card 462263xxxxxx7746,,-111.62,524.94,111.62
9/03/2021,SP * YELLOW OCTOPUS - Visa Purchase - Receipt 182113In MOORABBIN Date 08 Mar 2021 Card 462263xxxxxx7495,,-33.98,336.56,33.98
9/03/2021,COTTON ON KIDS 4223 - Visa Purchase - Receipt 182112In MANGO HILL Date 07 Mar 2021 Card 462263xxxxxx7495,,-18.49,370.54,18.49
